,address_type,agency,agency_name,borough,bridge_highway_direction,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
10,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2006-05-09T00:00:00.000,03 BROOKLYN,Street Condition,2006-05-02T00:00:00.000,BROOKLYN AVENUE,ST ANDREWS PLACE,Pothole,,N/A, ATLANTIC AVENUE,11216,,,,,BROOKLYN,Unspecified,2006-05-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ATLANTIC AVENUE,3516933
11,BLOCKFACE,DOT,Department of Transportation,QUEENS,,,2006-04-05T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-30T00:00:00.000,146 STREET,MAIN STREET,Pothole,,N/A, HORACE HARDING EXPRESSWAY,,,,,,QUEENS,Unspecified,2006-04-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,HORACE HARDING EXPRESSWAY,3593370
12,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2006-07-21T00:00:00.000,05 MANHATTAN,Street Condition,2006-07-21T00:00:00.000,MADISON AVENUE,PARK AVENUE,Pothole,,N/A, EAST 50 STREET,10022,,,,,MANHATTAN,Unspecified,2006-07-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 50 STREET,3549118
13,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-02-08T00:00:00.000,Unspecified QUEENS,Street Condition,2006-02-03T00:00:00.000,,,Pothole,,N/A,,,61 STREET,QUEENS BOULEVARD,,,QUEENS,Unspecified,2006-02-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3578301
14,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-05-25T00:00:00.000,Unspecified QUEENS,Street Condition,2006-05-02T00:00:00.000,,,Pothole,,N/A,,,LAURELTON PARKWAY,NORTH CONDUIT AVENUE,,,QUEENS,Unspecified,2006-05-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3590015
15,INTERSECTION,DOT,Department of Transportation,BRONX,,,2006-11-21T00:00:00.000,Unspecified BRONX,Street Condition,2006-11-15T00:00:00.000,,,Pothole,,N/A,,,KNOLLS CRESCENT,KAPPOCK STREET,,,BRONX,Unspecified,2006-11-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3639128
16,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2007-01-22T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-12-30T00:00:00.000,,,Pothole,,N/A,,,CLARKSON AVENUE,REMSEN AVENUE,,,BROOKLYN,Unspecified,2007-01-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3525836
17,,DOT,Department of Transportation,BROOKLYN,,,2006-09-21T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-09-12T00:00:00.000,,,Line/Marking - Faded,2006-10-12T00:00:00.000,N/A,,,BELT PKWY,OCEAN PKWY,,Street,BROOKLYN,Unspecified,2006-09-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,462219
18,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,,2006-05-30T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-05-30T00:00:00.000,WEST 178 STREET,TRSMAN EXPRESSWAY EXIT RAMP,Pothole,,N/A, AMSTERDAM AVENUE,,,,,,MANHATTAN,Unspecified,2006-05-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,AMSTERDAM AVENUE,3549701
19,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-04-21T00:00:00.000,Unspecified QUEENS,Street Condition,2006-04-18T00:00:00.000,,,Pothole,,N/A,,,UNION TPKE,CROSS ISLAND PKWY,,,QUEENS,Unspecified,2006-04-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3589396
20,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2006-12-23T00:00:00.000,05 MANHATTAN,Street Condition,2006-12-22T00:00:00.000,LEXINGTON AVENUE,PARK AVENUE,Pothole,,N/A, EAST 57 STREET,10022,,,,,MANHATTAN,Unspecified,2006-12-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 57 STREET,3552145
21,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2006-03-17T00:00:00.000,05 MANHATTAN,Street Condition,2006-03-16T00:00:00.000,MADISON AVENUE,PARK AVENUE,Pothole,,N/A, EAST 48 STREET,10017,,,,,MANHATTAN,Unspecified,2006-03-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 48 STREET,3548022
22,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-07-27T00:00:00.000,Unspecified QUEENS,Street Condition,2006-07-24T00:00:00.000,,,Pothole,,N/A,,,VAN WYCK EXPRESSWAY,JAMAICA AVENUE,,,QUEENS,Unspecified,2006-07-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3587157
23,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-03-14T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-13T00:00:00.000,,,Pothole,,N/A,,,62 STREET,WOODSIDE AVENUE,,,QUEENS,Unspecified,2006-03-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3591368
24,BLOCKFACE,DOT,Department of Transportation,BRONX,,BRONX,,04 BRONX,Street Condition,2006-08-15T00:00:00.000,GRAND CONCOURSE,WYTHE PLACE,Hummock,,N/A, EAST 170 STREET,10452,,,,,BRONX,Unspecified,2007-10-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,EAST 170 STREET,3641813
25,BLOCKFACE,DOT,Department of Transportation,Unspecified,,BROOKLYN,2006-06-20T00:00:00.000,0 Unspecified,Street Condition,2006-06-19T00:00:00.000,12 STREET,13 STREET,Pothole,,N/A, HAMILTON PLACE,,,,,,Unspecified,Unspecified,2006-06-20T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,HAMILTON PLACE,3518907
26,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,,2006-01-26T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2006-01-25T00:00:00.000,,,Pothole,,N/A,,,PALMER AVENUE,RICHMOND AVENUE,,,STATEN ISLAND,Unspecified,2006-01-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3609225
27,,DOT,Department of Transportation,QUEENS,,,2006-01-25T00:00:00.000,Unspecified QUEENS,Street Condition,2006-01-24T00:00:00.000,,,Unsafe Worksite,,N/A,,,70 ST,BROADWAY,,Street,QUEENS,Unspecified,2006-01-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,95972
28,,DOT,Department of Transportation,STATEN ISLAND,,,2006-01-31T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2006-01-31T00:00:00.000,,,Unsafe Worksite,,N/A,,,WOODROW RD,VETERANS RD WEST,,Street,STATEN ISLAND,Unspecified,2006-01-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,96779
29,,DOT,Department of Transportation,BRONX,North Bound,,2006-01-10T00:00:00.000,Unspecified BRONX,Street Condition,2006-01-09T00:00:00.000,HAMMERSLEY AVENUE,BURKE AVENUE,Plate Condition - Shifted,,N/A, EASTCHESTER ROAD,,,,,Street,BRONX,Unspecified,2006-01-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EASTCHESTER ROAD,94371
30,,DOT,Department of Transportation,BRONX,,,2006-03-09T00:00:00.000,Unspecified BRONX,Street Condition,2006-02-17T00:00:00.000,,,Line/Marking - After Repaving,2006-03-19T00:00:00.000,N/A,,,WESTCHESTER AVENUE,AMENDOLA PLACE,,Street,BRONX,Unspecified,2006-03-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,399786
31,,DOT,Department of Transportation,STATEN ISLAND,,,2006-08-18T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2006-08-18T00:00:00.000,LINCOLN ST,GREELEY AVE,"Rough, Pitted or Cracked Roads",2006-11-16T00:00:00.000,N/A, RUDYARD STREET,,,,,Street,STATEN ISLAND,Unspecified,2006-08-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,RUDYARD STREET,456400
32,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-01-27T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-01-21T00:00:00.000,,,Pothole,,N/A,,,4 AVENUE,82 STREET,,,BROOKLYN,Unspecified,2006-01-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3510055
33,,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2006-10-05T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-10-03T00:00:00.000,,,Plate Condition - Noisy,2006-10-13T00:00:00.000,N/A,E 340 93RD,10128,,,,Street,MANHATTAN,Unspecified,2006-10-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,93RD,1104367
34,,DOT,Department of Transportation,MANHATTAN,,,2006-01-22T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-01-20T00:00:00.000,E 56 ST,E 55 ST,Plate Condition - Noisy,,N/A, LEXIGTON AVE,,,,,Street,MANHATTAN,Unspecified,2006-01-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,LEXIGTON AVE,2589088
35,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,,2006-09-14T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-09-12T00:00:00.000,9 AVENUE,10 AVENUE,Pothole,,N/A, WEST 33 STREET,,,,,,MANHATTAN,Unspecified,2006-09-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST 33 STREET,3549333
36,INTERSECTION,DOT,Department of Transportation,BRONX,,,2006-02-28T00:00:00.000,Unspecified BRONX,Street Condition,2006-02-28T00:00:00.000,,,Pothole,,N/A,,,INDEPENDENCE AVENUE,WEST 254 STREET,,,BRONX,Unspecified,2006-02-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3637010
37,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-02-22T00:00:00.000,Unspecified QUEENS,Street Condition,2006-02-21T00:00:00.000,,,Pothole,,N/A,,,SHORE PARKWAY,156 AVENUE,,,QUEENS,Unspecified,2006-02-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3592999
38,INTERSECTION,DOT,Department of Transportation,BRONX,,,2006-04-12T00:00:00.000,Unspecified BRONX,Street Condition,2006-04-12T00:00:00.000,,,Pothole,,N/A,,,BAILEY AVENUE,WEST 234 STREET,,,BRONX,Unspecified,2006-04-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3637557
39,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2006-02-03T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-01-26T00:00:00.000,,,Pothole,,N/A,,,5 AVENUE,TRANSVERSE ROAD ONE,,,MANHATTAN,Unspecified,2006-02-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3544302
40,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,,2006-09-08T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2006-09-07T00:00:00.000,,,Pothole,,N/A,,,BARLOW AVENUE,FENWAY CIRCLE,,,STATEN ISLAND,Unspecified,2006-09-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3628102
41,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-12-27T00:00:00.000,Unspecified QUEENS,Street Condition,2006-12-26T00:00:00.000,,,Pothole,,N/A,,,117 STREET,JAMAICA AVENUE,,,QUEENS,Unspecified,2006-12-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3604865
42,BLOCKFACE,DOT,Department of Transportation,Unspecified,,STATEN ISLAND,2006-12-29T00:00:00.000,0 Unspecified,Street Condition,2006-12-28T00:00:00.000,BEND,BRIELLE AVENUE,Pothole,,N/A, ROCKLAND AVENUE,,,,,,Unspecified,Unspecified,2006-12-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ROCKLAND AVENUE,3634219
43,,DOT,Department of Transportation,QUEENS,,,2006-01-25T00:00:00.000,Unspecified QUEENS,Street Condition,2006-01-24T00:00:00.000,,,Failed Street Repair,,N/A,,,101 AVE,77 ST,,Street,QUEENS,Unspecified,2006-01-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,964053
44,,DOT,Department of Transportation,MANHATTAN,,,2006-01-03T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-01-03T00:00:00.000,LENOX AVE,7 AVE,Failed Street Repair,,N/A, WEST 125 STREET,,,,,Street,MANHATTAN,Unspecified,2006-01-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST 125 STREET,953793
45,INTERSECTION,DOT,DOT,Unspecified,South Bound,,2006-03-22T00:00:00.000,0 Unspecified,Street Condition,2006-02-06T00:00:00.000,,,Letter Verifying Traffic,2006-02-16T00:00:00.000,,,,,,,Street,Unspecified,Unspecified,2006-03-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,968914
46,,DOT,Department of Transportation,STATEN ISLAND,,,2006-02-06T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2006-02-02T00:00:00.000,,,Street Lines Complaint,,N/A,,,FATHER CAPADANNO BLVD,CHEROKEE ST,,Street,STATEN ISLAND,Unspecified,2006-02-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,1626566
47,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2006-04-11T00:00:00.000,01 BROOKLYN,Street Condition,2006-04-10T00:00:00.000,MC GUINNESS BOULEVARD,PROVOST STREET,Pothole,,N/A, GREEN STREET,11222,,,,,BROOKLYN,Unspecified,2006-04-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GREEN STREET,3512230
48,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-07-25T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-07-24T00:00:00.000,,,Pothole,,N/A,,,SHORE PARKWAY,ROCKAWAY PARKWAY,,,BROOKLYN,Unspecified,2006-07-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3527463
49,BLOCKFACE,DOT,Department of Transportation,QUEENS,,EAST ELMHURST,2006-12-04T00:00:00.000,03 QUEENS,Street Condition,2006-12-02T00:00:00.000,23 AVENUE,24 AVENUE,Pothole,,N/A, 88 STREET,11369,,,,,QUEENS,Unspecified,2006-12-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,88 STREET,3608846
50,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2006-02-07T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-02-06T00:00:00.000,EAST 26 STREET,EAST 27 STREET,Pothole,,N/A, SHORE PARKWAY,,,,,,BROOKLYN,Unspecified,2006-02-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,SHORE PARKWAY,3516332
51,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,,2006-12-19T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-12-18T00:00:00.000,9 AVENUE,10 AVENUE,Pothole,,N/A, WEST 38 STREET,,,,,,MANHATTAN,Unspecified,2006-12-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST 38 STREET,3550132
52,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,,2006-09-07T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-09-06T00:00:00.000,WEST 178 STREET,WEST 179 STREET,Pothole,,N/A, ST NICHOLAS AVENUE,,,,,,MANHATTAN,Unspecified,2006-09-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ST NICHOLAS AVENUE,3549285
53,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2006-03-16T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-03-15T00:00:00.000,2 AVENUE,3 AVENUE,Pothole,,N/A, 65 STREET,,,,,,BROOKLYN,Unspecified,2006-03-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,65 STREET,3513192
54,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2006-03-10T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-03-09T00:00:00.000,58 STREET,59 STREET,Pothole,,N/A, 3 AVENUE,,,,,,BROOKLYN,Unspecified,2006-03-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,3 AVENUE,3514144
55,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2006-02-07T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-02-06T00:00:00.000,BRIGHTON 3 STREET,OCEAN PARKWAY,Pothole,,N/A, SHORE PARKWAY,,,,,,BROOKLYN,Unspecified,2006-02-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,SHORE PARKWAY,3516491
56,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2006-02-25T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-02-21T00:00:00.000,,,Pothole,,N/A,,,RIVERSIDE DRIVE,WEST 100 STREET,,,MANHATTAN,Unspecified,2006-02-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3544489
57,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2006-10-24T00:00:00.000,02 BROOKLYN,Street Condition,2006-10-23T00:00:00.000,MYRTLE AVENUE,PARK AVENUE,Pothole,,N/A, GRAND AVENUE,11205,,,,,BROOKLYN,Unspecified,2006-10-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GRAND AVENUE,3523815
58,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-10-24T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-10-23T00:00:00.000,,,Pothole,,N/A,,,WILLIAMSBURG PLACE,KENT AVENUE,,,BROOKLYN,Unspecified,2006-10-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3523816
59,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-03-02T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-02-21T00:00:00.000,,,Pothole,,N/A,,,3 AVENUE,29 STREET,,,BROOKLYN,Unspecified,2006-03-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3517831
60,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-05-19T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-04-24T00:00:00.000,,,Pothole,,N/A,,,LINDEN BOULEVARD,MALTA STREET,,,BROOKLYN,Unspecified,2006-05-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3520254
61,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-12-12T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-12-11T00:00:00.000,,,Pothole,,N/A,,,5 AVENUE,65 STREET,,,BROOKLYN,Unspecified,2006-12-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3528576
